id_13_team_0_x,id_13_team_0_y,id_10_team_0_x,id_10_team_0_y,id_2_team_0_x,id_2_team_0_y,id_4_team_0_x,id_4_team_0_y,id_16_team_0_x,id_16_team_0_y,id_281_team_0_x,id_281_team_0_y,id_5_team_0_x,id_5_team_0_y,id_1_team_0_x,id_1_team_0_y,id_45_team_0_x,id_45_team_0_y,id_20_team_0_x,id_20_team_0_y,id_17_team_0_x,id_17_team_0_y,id_22_team_1_x,id_22_team_1_y,id_14_team_1_x,id_14_team_1_y,id_11_team_1_x,id_11_team_1_y,id_3_team_1_x,id_3_team_1_y,id_9_team_1_x,id_9_team_1_y,id_6_team_1_x,id_6_team_1_y,id_12_team_1_x,id_12_team_1_y,id_8_team_1_x,id_8_team_1_y,id_15_team_1_x,id_15_team_1_y,id_7_team_1_x,id_7_team_1_y,id_18_team_1_x,id_18_team_1_y,ball_x,ball_y
6625.72,3757.64,6403.82,2864.24,5862.48,4511.28,4678.01,4176.14,4010.38,2694.8,9375.74,3115.76,6260.37,5207.12,4353.0,5774.95,5519.75,1824.08,2246.3,1330.02,5648.48,2252.76,292.82,2244.46,1380.76,2435.18,2490.47,4883.73,3810.29,5642.18,2400.87,1121.35,4185.04,4352.87,3949.0,2931.51,5391.53,4733.58,5772.18,2211.1,6153.3,5898.58,6516.16,3870.69,649.88,2622.19
6628.83,3766.36,6409.45,2823.42,5856.28,4504.88,4658.56,4160.23,4028.67,2701.89,9375.74,3115.76,6273.72,5204.59,4360.37,5769.23,5519.75,1824.08,2292.2,1308.44,5639.86,2296.84,410.94,2350.04,1357.59,2411.48,2484.01,4915.79,3804.08,5653.46,2430.01,1125.23,4171.22,4336.05,3988.59,2933.82,5416.06,4736.59,5796.47,2217.88,6159.56,5898.15,6513.65,3880.63,664.61,2646.42
6637.97,3776.86,6417.07,2812.24,5850.84,4519.38,4636.28,4163.52,4053.03,2690.15,9375.74,3115.76,6287.83,5210.19,4363.06,5744.17,5519.75,1824.08,2336.87,1353.31,5633.17,2302.9,462.59,2395.3,1352.04,2426.67,2478.3,4941.13,3808.55,5662.2,2451.57,1129.65,4145.46,4331.43,4023.51,2949.89,5441.17,4728.1,5814.53,2202.84,6170.57,5917.37,6513.92,3893.3,663.94,2682.2799999999997
6642.03,3774.37,6417.58,2806.16,5842.62,4522.95,4606.58,4170.88,4078.76,2710.4,9375.74,3115.76,6306.81,5209.68,4361.2,5723.71,5519.75,1824.08,2384.56,1380.55,5631.49,2325.77,506.25,2425.27,1305.9,2415.11,2436.33,4954.57,3806.99,5667.55,2486.72,1137.27,4119.69,4338.57,4042.78,2912.67,5463.85,4700.07,5835.83,2143.28,6179.92,5946.87,6524.53,3899.3,663.27,2718.14
6644.41,3765.87,6419.77,2720.71,5841.73,4508.15,4580.09,4140.56,4101.08,2714.68,9375.74,3115.76,6320.51,5212.53,4376.39,5717.33,5519.75,1824.08,2416.5,1389.92,5622.05,2336.57,563.87,2504.41,1292.57,2411.26,2407.34,4959.22,3807.71,5658.4,2506.37,1127.51,4090.27,4299.5,4075.1,2899.46,5482.75,4689.46,5847.62,2118.94,6184.58,5955.58,6522.89,3891.93,675.0166666666667,2748.6266666666666
6648.49,3775.03,6414.12,2708.57,5835.49,4500.87,4550.37,4136.67,4125.33,2710.2,9375.74,3115.76,6323.11,5211.4,4384.11,5698.49,5519.75,1824.08,2464.88,1406.11,5613.28,2353.24,605.58,2540.49,1310.98,2431.38,2410.42,4965.9,3796.7799999999997,5659.695,2544.42,1124.09,4069.98,4293.13,4095.31,2895.74,5493.99,4661.01,5860.52,2099.87,6191.18,5957.15,6520.81,3883.18,686.7633333333333,2779.1133333333332
6650.25,3777.74,6406.04,2675.28,5817.84,4507.67,4519.42,4146.89,4129.37,2730.0,9375.74,3115.76,6321.58,5213.96,4386.6,5685.71,5519.75,1824.08,2475.69,1414.5,5599.92,2376.51,590.22,2571.8,1264.0,2430.91,2348.32,4953.21,3785.85,5660.99,2553.3,1133.71,4032.06,4284.09,4100.19,2885.21,5504.13,4644.1,5861.85,2089.61,6188.39,5964.78,6518.16,3828.99,698.51,2809.6
6651.09,3780.07,6400.18,2652.94,5799.85,4497.5,4487.8,4125.77,4141.24,2745.1,9375.74,3115.76,6344.44,5209.72,4393.51,5692.72,5519.75,1824.08,2484.81,1435.37,5584.43,2412.52,599.76,2609.21,1246.36,2436.08,2325.8,4971.43,3781.17,5685.79,2565.28,1154.85,4005.26,4282.81,4114.86,2869.95,5518.28,4642.95,5879.6,2072.86,6186.39,5990.89,6515.55,3812.66,710.2566666666667,2840.0866666666666
6654.79,3780.2,6391.47,2659.23,5795.04,4507.34,4446.5,4104.7,4157.33,2759.41,9375.74,3115.76,6353.83,5212.95,4387.84,5681.76,5519.75,1824.08,2493.57,1437.74,5577.23,2433.7,584.89,2610.64,1230.72,2439.0,2300.98,4987.69,3776.28,5695.24,2582.73,1156.62,3966.51,4282.17,4131.13,2868.88,5520.09,4625.96,5886.33,2046.22,6186.27,6000.16,6511.22,3824.44,722.0033333333333,2870.5733333333333
6651.62,3780.71,6393.16,2619.37,5777.44,4509.46,4409.72,4119.74,4186.04,2750.11,9375.74,3115.76,6348.54,5219.27,4368.91,5654.69,5519.75,1824.08,2512.07,1495.01,5571.52,2478.48,627.24,2687.6,1206.61,2418.22,2242.08,4983.44,3752.77,5701.97,2617.39,1170.14,3923.23,4266.22,4157.94,2845.1,5526.4,4604.88,5900.24,2012.26,6182.53,6004.27,6501.89,3796.87,733.75,2901.06
6653.51,3776.28,6395.1,2602.67,5755.93,4506.39,4368.83,4093.96,4193.86,2764.22,9375.74,3115.76,6347.66,5226.05,4355.9,5630.96,5519.75,1824.08,2530.9,1512.24,5568.62,2487.09,588.56,2624.54,1184.18,2392.61,2183.02,4963.81,3741.29,5702.93,2631.5,1147.55,3877.35,4228.79,4174.41,2850.12,5532.78,4568.69,5909.93,2006.51,6172.09,6034.45,6494.32,3774.37,891.805,3150.295
6668.67,3805.57,6402.95,2579.27,5754.07,4520.84,4332.5,4121.91,4219.3099999999995,2796.4339999999997,9375.74,3115.76,6366.93,5257.95,4352.0,5631.14,5519.75,1824.08,2547.64,1498.23,5568.61,2518.81,577.92,2639.95,1172.1,2388.9,2163.2,5004.89,3743.47,5713.64,2651.9,1152.26,3840.81,4245.52,4190.88,2855.14,5544.15,4579.58,5933.95,1969.08,6169.38,6072.52,6507.17,3784.3,1049.86,3399.53
6674.17,3798.71,6401.55,2561.53,5767.73,4514.62,4313.81,4116.32,4244.759999999999,2828.6479999999997,9375.74,3115.76,6375.94,5276.16,4366.79,5629.61,5519.75,1824.08,2576.43,1536.02,5564.0,2531.61,595.37,2660.3,1186.71,2389.92,2151.43,4995.08,3764.56,5719.54,2683.43,1169.46,3830.15,4250.05,4227.96,2847.26,5558.75,4556.74,5943.95,1931.51,6178.77,6071.06,6517.49,3737.02,1215.26,3614.32
